estado,unidade,poblacion,tamano,medios_total,medios_urbanos,medios_rurales,medios_plurales_1fuente,medios_plurales_2fuentes,categoria_definitiva
Táchira,José María Vargas (El Cobre),8660,Localidad pequeña,15,15,12,5,No aplica,Semidesierto
Táchira,Junín (Rubio),74267,Localidad mediana,17,17,12,9,3,Semibosque
Táchira,San Judas Tadeo (Umuquena),6369,Localidad pequeña,13,13,9,6,No aplica,Semidesierto
Táchira,Libertad (Capacho Viejo),23542,Localidad pequeña,14,14,7,7,1,Semibosque
Táchira,Libertador (Abejales),18880,Localidad pequeña,8,8,5,4,No aplica,Semidesierto
Táchira,Lobatera,11179,Localidad pequeña,11,10,9,5,No aplica,Semidesierto
Táchira,Michelena,16361,Localidad pequeña,13,12,10,7,3,Semibosque
Táchira,Panamericano (Coloncito),27188,Localidad mediana,11,10,10,6,No aplica,Semidesierto
Táchira,Pedro María Ureña (Ureña),45026,Localidad mediana,14,14,7,7,No aplica,Semidesierto
Táchira,Rafael Urdaneta (Delicias),4986,Localidad pequeña,10,9,7,4,No aplica,Semidesierto
Táchira,Samuel Dario Maldonado (La Tendida),15875,Localidad pequeña,10,9,7,5,No aplica,Semidesierto
Táchira,San Cristóbal,231079,Localidad grande,20,19,16,10,3,Semibosque
Táchira,Seboruco,16297,Localidad pequeña,14,13,11,5,No aplica,Semidesierto
Táchira,Simón Rodríguez (San Simon),2125,Localidad pequeña,6,6,5,2,No aplica,Desierto
Táchira,Sucre (Queniquea),6331,Localidad pequeña,11,11,8,3,No aplica,Desierto
Táchira,Torbes (San Josecito),43559,Localidad mediana,15,15,7,7,No aplica,Semidesierto
Táchira,Uribante (Pregonero),17219,Localidad pequeña,9,8,7,2,No aplica,Desierto
Trujillo,Andrés Bello (Santa Isabel),17781,Localidad pequeña,12,12,11,4,No aplica,Semidesierto
Trujillo,Boconó,95001,Localidad mediana,25,25,22,11,1,Semibosque
Trujillo,Bolívar (Sabana Grande),17473,Localidad pequeña,13,11,13,4,No aplica,Semidesierto
Trujillo,Candelaria (Chejendé),30599,Localidad mediana,12,11,12,3,No aplica,Desierto
Trujillo,Carache,30318,Localidad mediana,14,14,14,5,No aplica,Semidesierto
Trujillo,Campos Elías,5671,Localidad pequeña,13,12,12,3,No aplica,Desierto
Trujillo,Carvajal (Carvajal),63488,Localidad mediana,16,16,14,6,No aplica,Semibosque
Trujillo,Escuque,30108,Localidad mediana,14,14,12,5,No aplica,Semidesierto
Trujillo,La Ceiba (Santa Apolonia),21387,Localidad pequeña,12,11,12,3,No aplica,Desierto
Trujillo,Márquez Cañizales (El Paradero),5000,Localidad pequeña,13,12,12,4,No aplica,Semidesierto
Trujillo,Miranda (El Dividive),24133,Localidad pequeña,14,14,12,5,No aplica,Semibosque
Trujillo,Monte Carmelo,13863,Localidad pequeña,13,13,12,4,No aplica,Semidesierto
Trujillo,Motatán,22158,Localidad pequeña,15,15,12,3,No aplica,Desierto
Trujillo,Pampán,51969,Localidad mediana,15,15,14,4,No aplica,Desierto
Trujillo,Pampanito,31233,Localidad mediana,15,15,13,6,No aplica,Semibosque
Trujillo,Rangel (Betijoque),24552,Localidad pequeña,15,15,12,6,6,Semibosque
Trujillo,Sucre (Sabana de Mendoza),33469,Localidad mediana,15,15,13,5,No aplica,Semidesierto
Trujillo,Trujillo,62153,Localidad mediana,16,16,13,6,No aplica,Semibosque
Trujillo,Urdaneta (La Quebrada),37125,Localidad mediana,13,13,13,4,No aplica,Desierto
Trujillo,Valera,149808,Localidad grande,20,20,15,6,No aplica,Semidesierto
Yaracuy,Arístides Bastidas (San Pablo),22654,Localidad pequeña,17,16,4,6,No aplica,Semidesierto
Yaracuy,Bolívar (Aroa),34084,Localidad mediana,19,16,6,6,No aplica,Semidesierto
Yaracuy,Bruzual (Chivacoa),76333,Localidad mediana,23,22,7,10,7,Semibosque
Yaracuy,Cocorote,46803,Localidad mediana,28,28,17,10,6,Semibosque
Yaracuy,Independencia,67221,Localidad mediana,32,32,20,11,7,Semibosque
Yaracuy,La Trinidad (Boraure),19130,Localidad pequeña,17,15,5,8,5,Semibosque
Yaracuy,Monge (Yumare),13858,Localidad pequeña,14,12,3,5,No aplica,Semidesierto
Yaracuy,Nirgua,62974,Localidad mediana,20,17,7,7,No aplica,Semidesierto
Yaracuy,Páez (Sabana de Parra),21487,Localidad pequeña,16,15,3,6,No aplica,Semidesierto
Yaracuy,Peña (Yaritagua),112446,Localidad grande,19,18,8,6,No aplica,Semidesierto
Yaracuy,San Felipe,115630,Localidad grande,33,33,22,11,7,Semibosque
Yaracuy,Sucre (Guama),21757,Localidad pequeña,19,18,4,7,5,Semibosque
Yaracuy,Urachiche,23696,Localidad pequeña,16,15,4,6,No aplica,Semidesierto
Yaracuy,Veroes (Farriar),28917,Localidad mediana,20,16,8,7,No aplica,Semidesierto
Zulia,Bolívar (Tía Juana),44094,Localidad mediana,23,21,13,14,7,Semibosque
Zulia,Baralt (San Timoteo),92904,Localidad mediana,18,16,11,10,3,Semibosque
Zulia,Cabimas,274088,Localidad grande,38,38,19,25,12,Bosque
Zulia,Catatumbo (Encontrados),41326,Localidad mediana,15,13,10,9,3,Semibosque
Zulia,Colón (San Carlos del Zulia),127440,Localidad grande,11,11,5,4,No aplica,Desierto
Zulia,Guajira (Sinamaica),67194,Localidad mediana,23,18,16,13,7,Semibosque
Zulia,Padilla (El Toro),12594,Localidad pequeña,10,8,7,3,No aplica,Desierto
Zulia,Pulgar (Pueblo Nuevo-El Chivo),33351,Localidad mediana,9,9,5,3,No aplica,Desierto
Zulia,Lossada (La Concepción),118919,Localidad grande,20,18,10,11,7,Semibosque
Zulia,Semprún (Casigua El Cubo),30216,Localidad mediana,10,10,7,4,No aplica,Desierto
Zulia,La Cañada de Urdaneta (Concepción),83543,Localidad mediana,20,19,9,14,8,Bosque
Zulia,Lagunillas (Ciudad Ojeda),200092,Localidad grande,34,34,21,22,11,Bosque
Zulia,Machiques,124492,Localidad grande,27,27,14,16,8,Semibosque
Zulia,Mara (San Rafael del Moján),202242,Localidad grande,13,10,8,9,5,Semibosque
Zulia,Maracaibo,1560837,Localidad grande,49,49,29,30,19,Bosque
Zulia,Miranda (Los Puertos de Altagracia),99681,Localidad mediana,24,24,13,13,9,Bosque
Zulia,Rosario (La Villa del Rosario),86983,Localidad mediana,23,22,12,13,7,Semibosque
Zulia,San Francisco,462417,Localidad grande,38,37,21,22,14,Bosque
Zulia,Santa Rita,58912,Localidad mediana,27,27,13,15,9,Bosque
Zulia,Sucre (Bobures),60086,Localidad mediana,8,7,5,3,No aplica,Desierto
Zulia,Valmore Rodríguez (Bachaquero),52524,Localidad mediana,18,17,12,11,6,Semibosque
