estado,unidade,poblacion,tamano,medios_total,medios_urbanos,medios_rurales,medios_plurales_1fuente,medios_plurales_2fuentes,categoria_definitiva,level_1_code,level_2_code
Nueva Esparta,Maneiro (Pampatar),58556,Localidad mediana,18,18,7,6,No aplica,Semidesierto,VE17,VE1706
Nueva Esparta,Marcano (Juan Griego),41537,Localidad mediana,12,10,8,6,No aplica,Semidesierto,VE17,VE1707
Nueva Esparta,Mariño (Porlamar),117183,Localidad grande,18,18,8,6,No aplica,Desierto,VE17,VE1708
Nueva Esparta,Península de Macanao (Boca de Río),30094,Localidad mediana,9,8,5,4,No aplica,Desierto,VE17,VE1709
Nueva Esparta,Tubores (Punta de Piedras),42180,Localidad mediana,6,6,5,4,No aplica,Desierto,VE17,VE1710
Nueva Esparta,Villalba (San Pedro de Coche),10281,Localidad pequeña,6,6,3,3,No aplica,Desierto,VE17,VE1711
Portuguesa,Agua Blanca,21300,Localidad pequeña,15,12,11,12,3,Semibosque,VE18,VE1801
Portuguesa,Araure,172372,Localidad grande,22,22,14,14,3,Semibosque,VE18,VE1802
Portuguesa,Esteller (Píritu),45254,Localidad mediana,14,12,9,10,3,Semibosque,VE18,VE1803
Portuguesa,Guanare,205081,Localidad grande,22,22,12,14,3,Semibosque,VE18,VE1804
Portuguesa,Guanarito,38397,Localidad mediana,12,9,9,8,1,Semibosque,VE18,VE1805
Portuguesa,Monseñor José Vicenti de Unda (Chabasquén de Unda),24232,Localidad pequeña,10,8,9,7,1,Semibosque,VE18,VE1806
Portuguesa,Ospino,49795,Localidad mediana,18,17,10,11,3,Semibosque,VE18,VE1807
Portuguesa,Páez (Acarigua),187727,Localidad grande,22,22,14,14,3,Semibosque,VE18,VE1808
Portuguesa,Papelón,16995,Localidad pequeña,12,8,11,9,1,Semibosque,VE18,VE1809
Portuguesa,San Genaro de Boconoíto (Boconoíto),23872,Localidad pequeña,10,9,9,7,1,Semibosque,VE18,VE1810
Portuguesa,San Rafael de Onoto,18908,Localidad pequeña,11,10,9,9,2,Semibosque,VE18,VE1811
Portuguesa,Santa Rosalía (El Playón),17885,Localidad pequeña,10,8,9,8,2,Semibosque,VE18,VE1812
Portuguesa,Sucre (Biscucuy),42501,Localidad mediana,12,11,9,9,1,Semibosque,VE18,VE1813
Portuguesa,Turén (Villa Bruzual),65928,Localidad mediana,15,14,9,10,3,Semibosque,VE18,VE1814
Sucre,Andrés Eloy Blanco (Casanay),28337,Localidad mediana,4,3,3,3,No aplica,Desierto,VE19,VE1901
Sucre,Andrés Mata (San José de Aerocuar),21211,Localidad pequeña,4,4,3,3,No aplica,Desierto,VE19,VE1902
Sucre,Arismendi (Río Caribe),50589,Localidad mediana,6,6,4,5,No aplica,Semidesierto,VE19,VE1903
Sucre,Benítez (El Pilar),33449,Localidad mediana,2,2,1,2,No aplica,Desierto,VE19,VE1904
Sucre,Bermúdez (Carúpano),149120,Localidad grande,10,10,8,6,No aplica,Semidesierto,VE19,VE1905
Sucre,Bolívar (Marigüitar),23642,Localidad pequeña,5,5,1,5,No aplica,Semidesierto,VE19,VE1906
Sucre,Cajigal (Yaguaraparo),22706,Localidad pequeña,3,3,1,3,No aplica,Desierto,VE19,VE1907
Sucre,Cruz Salmerón Acosta (Araya),37770,Localidad mediana,5,5,3,4,No aplica,Desierto,VE19,VE1908
Sucre,Libertador (Tunapuy),10281,Localidad pequeña,1,1,1,1,No aplica,Desierto,VE19,VE1909
Sucre,Mariño (Irapa),25845,Localidad mediana,2,2,2,2,No aplica,Desierto,VE19,VE1910
Sucre,Mejía (San Antonio del Golfo),15101,Localidad pequeña,4,3,3,2,No aplica,Desierto,VE19,VE1911
Sucre,Montes (Cumanacoa),57312,Localidad mediana,7,6,5,5,No aplica,Semidesierto,VE19,VE1912
Sucre,Ribero (Cariaco),65054,Localidad mediana,5,4,5,4,No aplica,Desierto,VE19,VE1913
Sucre,Sucre (Cumaná),402649,Localidad grande,12,12,6,9,5,Semibosque,VE19,VE1914
Sucre,Valdez (Güiria),44077,Localidad mediana,4,3,2,3,No aplica,Desierto,VE19,VE1915
Táchira,Andrés Bello (Cordero),17464,Localidad pequeña,12,12,7,5,No aplica,Semidesierto,VE20,VE2001
Táchira,Antonio Rómulo Costa (Las Mesas),8992,Localidad pequeña,13,13,9,4,No aplica,Semidesierto,VE20,VE2002
Táchira,Ayacucho (Colón),49810,Localidad mediana,18,17,12,10,3,Semibosque,VE20,VE2003
Táchira,Bolívar (San Antonio del Táchira),52935,Localidad mediana,14,14,7,6,No aplica,Semidesierto,VE20,VE2004
Táchira,Cárdenas (Táriba),110318,Localidad grande,16,16,7,7,No aplica,Semidesierto,VE20,VE2005
Táchira,Córdoba (Santa Ana de Táchira),28235,Localidad mediana,13,13,7,6,No aplica,Semidesierto,VE20,VE2006
Táchira,Fernández Feo (San Rafael del Piñal),38947,Localidad mediana,10,10,6,5,No aplica,Semidesierto,VE20,VE2007
Táchira,Francisco de Miranda (San José de Bolívar),3475,Localidad pequeña,13,11,11,4,No aplica,Semidesierto,VE20,VE2008
Táchira,García de Hevia (La Fría),41748,Localidad mediana,14,12,10,7,No aplica,Semidesierto,VE20,VE2009
Táchira,Guásimos (Palmira),38325,Localidad mediana,14,13,9,6,No aplica,Semidesierto,VE20,VE2010
Táchira,Independencia (Capacho Nuevo),32009,Localidad mediana,14,13,8,6,No aplica,Semidesierto,VE20,VE2011
Táchira,Jáuregui (La Grita),35659,Localidad mediana,18,18,13,8,2,Semibosque,VE20,VE2012
Táchira,José María Vargas (El Cobre),8660,Localidad pequeña,15,15,12,5,No aplica,Semidesierto,VE20,VE2013
Táchira,Junín (Rubio),74267,Localidad mediana,17,17,12,9,3,Semibosque,VE20,VE2014
Táchira,San Judas Tadeo (Umuquena),6369,Localidad pequeña,13,13,9,6,No aplica,Semidesierto,VE20,VE2029
Táchira,Libertad (Capacho Viejo),23542,Localidad pequeña,14,14,7,7,1,Semibosque,VE20,VE2015
Táchira,Libertador (Abejales),18880,Localidad pequeña,8,8,5,4,No aplica,Semidesierto,VE20,VE2016
Táchira,Lobatera,11179,Localidad pequeña,11,10,9,5,No aplica,Semidesierto,VE20,VE2017
Táchira,Michelena,16361,Localidad pequeña,13,12,10,7,3,Semibosque,VE20,VE2018
Táchira,Panamericano (Coloncito),27188,Localidad mediana,11,10,10,6,No aplica,Semidesierto,VE20,VE2019
Táchira,Pedro María Ureña (Ureña),45026,Localidad mediana,14,14,7,7,No aplica,Semidesierto,VE20,VE2020
Táchira,Rafael Urdaneta (Delicias),4986,Localidad pequeña,10,9,7,4,No aplica,Semidesierto,VE20,VE2021
Táchira,Samuel Dario Maldonado (La Tendida),15875,Localidad pequeña,10,9,7,5,No aplica,Semidesierto,VE20,VE2022
Táchira,San Cristóbal,231079,Localidad grande,20,19,16,10,3,Semibosque,VE20,VE2023
Táchira,Seboruco,16297,Localidad pequeña,14,13,11,5,No aplica,Semidesierto,VE20,VE2024
Táchira,Simón Rodríguez (San Simon),2125,Localidad pequeña,6,6,5,2,No aplica,Desierto,VE20,VE2025
Táchira,Sucre (Queniquea),6331,Localidad pequeña,11,11,8,3,No aplica,Desierto,VE20,VE2026
Táchira,Torbes (San Josecito),43559,Localidad mediana,15,15,7,7,No aplica,Semidesierto,VE20,VE2027
Táchira,Uribante (Pregonero),17219,Localidad pequeña,9,8,7,2,No aplica,Desierto,VE20,VE2028
Trujillo,Andrés Bello (Santa Isabel),17781,Localidad pequeña,12,12,11,4,No aplica,Semidesierto,VE21,VE2101
Trujillo,Boconó,95001,Localidad mediana,25,25,22,11,1,Semibosque,VE21,VE2102
Trujillo,Bolívar (Sabana Grande),17473,Localidad pequeña,13,11,13,4,No aplica,Semidesierto,VE21,VE2103
Trujillo,Candelaria (Chejendé),30599,Localidad mediana,12,11,12,3,No aplica,Desierto,VE21,VE2104
Trujillo,Carache,30318,Localidad mediana,14,14,14,5,No aplica,Semidesierto,VE21,VE2105
Trujillo,Campos Elías,5671,Localidad pequeña,13,12,12,3,No aplica,Desierto,VE21,VE2108
Trujillo,Carvajal (Carvajal),63488,Localidad mediana,16,16,14,6,No aplica,Semibosque,VE21,VE2116
Trujillo,Escuque,30108,Localidad mediana,14,14,12,5,No aplica,Semidesierto,VE21,VE2106
Trujillo,La Ceiba (Santa Apolonia),21387,Localidad pequeña,12,11,12,3,No aplica,Desierto,VE21,VE2109
Trujillo,Márquez Cañizales (El Paradero),5000,Localidad pequeña,13,12,12,4,No aplica,Semidesierto,VE21,VE2107
Trujillo,Miranda (El Dividive),24133,Localidad pequeña,14,14,12,5,No aplica,Semibosque,VE21,VE2110
Trujillo,Monte Carmelo,13863,Localidad pequeña,13,13,12,4,No aplica,Semidesierto,VE21,VE2111
Trujillo,Motatán,22158,Localidad pequeña,15,15,12,3,No aplica,Desierto,VE21,VE2112
Trujillo,Pampán,51969,Localidad mediana,15,15,14,4,No aplica,Desierto,VE21,VE2113
Trujillo,Pampanito,31233,Localidad mediana,15,15,13,6,No aplica,Semibosque,VE21,VE2114
Trujillo,Rangel (Betijoque),24552,Localidad pequeña,15,15,12,6,6,Semibosque,VE21,VE2115
Trujillo,Sucre (Sabana de Mendoza),33469,Localidad mediana,15,15,13,5,No aplica,Semidesierto,VE21,VE2117
Trujillo,Trujillo,62153,Localidad mediana,16,16,13,6,No aplica,Semibosque,VE21,VE2118
Trujillo,Urdaneta (La Quebrada),37125,Localidad mediana,13,13,13,4,No aplica,Desierto,VE21,VE2119
Trujillo,Valera,149808,Localidad grande,20,20,15,6,No aplica,Semidesierto,VE21,VE2120
Yaracuy,Arístides Bastidas (San Pablo),22654,Localidad pequeña,17,16,4,6,No aplica,Semidesierto,VE22,VE2201
Yaracuy,Bolívar (Aroa),34084,Localidad mediana,19,16,6,6,No aplica,Semidesierto,VE22,VE2202
Yaracuy,Bruzual (Chivacoa),76333,Localidad mediana,23,22,7,10,7,Semibosque,VE22,VE2203
Yaracuy,Cocorote,46803,Localidad mediana,28,28,17,10,6,Semibosque,VE22,VE2204
Yaracuy,Independencia,67221,Localidad mediana,32,32,20,11,7,Semibosque,VE22,VE2205
Yaracuy,La Trinidad (Boraure),19130,Localidad pequeña,17,15,5,8,5,Semibosque,VE22,VE2207
Yaracuy,Monge (Yumare),13858,Localidad pequeña,14,12,3,5,No aplica,Semidesierto,VE22,VE2208
Yaracuy,Nirgua,62974,Localidad mediana,20,17,7,7,No aplica,Semidesierto,VE22,VE2209
Yaracuy,Páez (Sabana de Parra),21487,Localidad pequeña,16,15,3,6,No aplica,Semidesierto,VE22,VE2206
Yaracuy,Peña (Yaritagua),112446,Localidad grande,19,18,8,6,No aplica,Semidesierto,VE22,VE2210
Yaracuy,San Felipe,115630,Localidad grande,33,33,22,11,7,Semibosque,VE22,VE2211
Yaracuy,Sucre (Guama),21757,Localidad pequeña,19,18,4,7,5,Semibosque,VE22,VE2212
Yaracuy,Urachiche,23696,Localidad pequeña,16,15,4,6,No aplica,Semidesierto,VE22,VE2213
Yaracuy,Veroes (Farriar),28917,Localidad mediana,20,16,8,7,No aplica,Semidesierto,VE22,VE2214
Zulia,Bolívar (Tía Juana),44094,Localidad mediana,23,21,13,14,7,Semibosque,VE23,VE2319
Zulia,Baralt (San Timoteo),92904,Localidad mediana,18,16,11,10,3,Semibosque,VE23,VE2302
Zulia,Cabimas,274088,Localidad grande,38,38,19,25,12,Bosque,VE23,VE2303
Zulia,Catatumbo (Encontrados),41326,Localidad mediana,15,13,10,9,3,Semibosque,VE23,VE2304
Zulia,Colón (San Carlos del Zulia),127440,Localidad grande,11,11,5,4,No aplica,Desierto,VE23,VE2305
Zulia,Guajira (Sinamaica),67194,Localidad mediana,23,18,16,13,7,Semibosque,VE23,VE2315
Zulia,Padilla (El Toro),12594,Localidad pequeña,10,8,7,3,No aplica,Desierto,VE23,VE2301
Zulia,Pulgar (Pueblo Nuevo-El Chivo),33351,Localidad mediana,9,9,5,3,No aplica,Desierto,VE23,VE2306
Zulia,Lossada (La Concepción),118919,Localidad grande,20,18,10,11,7,Semibosque,VE23,VE2307
Zulia,Semprún (Casigua El Cubo),30216,Localidad mediana,10,10,7,4,No aplica,Desierto,VE23,VE2308
Zulia,La Cañada de Urdaneta (Concepción),83543,Localidad mediana,20,19,9,14,8,Bosque,VE23,VE2309
Zulia,Lagunillas (Ciudad Ojeda),200092,Localidad grande,34,34,21,22,11,Bosque,VE23,VE2310
Zulia,Machiques,124492,Localidad grande,27,27,14,16,8,Semibosque,VE23,VE2311
Zulia,Mara (San Rafael del Moján),202242,Localidad grande,13,10,8,9,5,Semibosque,VE23,VE2312
Zulia,Maracaibo,1560837,Localidad grande,49,49,29,30,19,Bosque,VE23,VE2313
Zulia,Miranda (Los Puertos de Altagracia),99681,Localidad mediana,24,24,13,13,9,Bosque,VE23,VE2314
Zulia,Rosario (La Villa del Rosario),86983,Localidad mediana,23,22,12,13,7,Semibosque,VE23,VE2316
Zulia,San Francisco,462417,Localidad grande,38,37,21,22,14,Bosque,VE23,VE2317
Zulia,Santa Rita,58912,Localidad mediana,27,27,13,15,9,Bosque,VE23,VE2318
Zulia,Sucre (Bobures),60086,Localidad mediana,8,7,5,3,No aplica,Desierto,VE23,VE2320
Zulia,Valmore Rodríguez (Bachaquero),52524,Localidad mediana,18,17,12,11,6,Semibosque,VE23,VE2321
